HUD frame time nsec:,109641000

Range Index,Elapsed Time, First Event,Last Event
647,62656,4538,4538
648,67904,4545,4545
649,64032,4552,4552
650,65440,4559,4559
651,63200,4566,4566
652,69184,4573,4573
653,62080,4580,4580
654,68608,4587,4587
655,63488,4594,4594
656,65760,4601,4601
657,65600,4608,4608
658,63776,4615,4615
659,67872,4622,4622
660,62240,4629,4629
661,69792,4636,4636
662,62144,4643,4643
663,69568,4650,4650
664,62464,4657,4657
665,67776,4664,4664
666,64320,4671,4671
667,65344,4678,4678
668,65536,4685,4685
669,64128,4692,4692
670,68352,4699,4699
671,61952,4706,4706
672,69792,4713,4713
673,61728,4720,4720
674,69536,4727,4727
675,62656,4734,4734
676,67808,4741,4741
677,64096,4748,4748
678,65440,4755,4755
679,65600,4762,4762
680,64064,4769,4769
681,67872,4776,4776
682,62528,4783,4783
683,69536,4790,4790
684,62272,4797,4797
685,69440,4804,4804
686,62656,4811,4811
687,67776,4818,4818
688,64384,4825,4825
689,65216,4832,4832
690,65600,4839,4839
691,64064,4846,4846
692,67840,4853,4853
693,62624,4860,4860
694,69408,4867,4867
695,62112,4874,4874
696,69600,4881,4881
697,62592,4888,4888
698,67808,4895,4895
699,63904,4902,4902
700,65472,4909,4909
701,63264,4916,4916
702,68832,4923,4923
703,62752,4930,4930
704,67680,4937,4937
705,64064,4944,4944
706,65504,4951,4951
707,65472,4958,4958
708,64384,4965,4965
709,67680,4972,4972
710,62496,4979,4979
711,69600,4986,4986
712,62112,4993,4993
713,69600,5000,5000
714,63040,5007,5007
715,67296,5014,5014
716,64160,5021,5021
717,65472,5028,5028
718,65536,5035,5035
719,64000,5042,5042
720,68128,5049,5049
721,62048,5056,5056
722,69568,5063,5063
723,62144,5070,5070
724,69312,5077,5077
725,62656,5084,5084
726,67680,5091,5091
727,64032,5098,5098
728,65536,5105,5105
729,65600,5112,5112
730,63936,5119,5119
731,67968,5126,5126
732,62336,5133,5133
733,69632,5140,5140
734,61504,5147,5147
735,504672,5154,5154
736,62720,5161,5161
737,67776,5168,5168
738,64096,5175,5175
739,65472,5182,5182
740,65568,5189,5189
741,63968,5196,5196
742,67936,5203,5203
743,62400,5210,5210
744,69696,5217,5217
745,62048,5224,5224
746,69536,5231,5231
747,62688,5238,5238
748,67808,5245,5245
749,64096,5252,5252
750,65216,5259,5259
751,62624,5266,5266
752,69568,5273,5273
753,62272,5280,5280
754,67968,5287,5287
755,64128,5294,5294
756,65792,5301,5301
757,65152,5308,5308
758,64224,5315,5315
759,67968,5322,5322
760,62368,5329,5329
761,69568,5336,5336
762,62336,5343,5343
763,69248,5350,5350
764,62688,5357,5357
765,67808,5364,5364
766,63936,5371,5371
767,65504,5378,5378
768,65920,5385,5385
769,63648,5392,5392
770,68448,5399,5399
771,61888,5406,5406
772,69632,5413,5413
773,62464,5420,5420
774,69184,5427,5427
775,62624,5434,5434
776,67904,5441,5441
777,63936,5448,5448
778,65280,5455,5455
779,65568,5462,5462
780,64000,5469,5469
781,67904,5476,5476
782,62432,5483,5483
783,69632,5490,5490
784,62272,5497,5497
785,69440,5504,5504
786,62656,5511,5511
787,67840,5518,5518
788,64064,5525,5525
789,65440,5532,5532
790,65536,5539,5539
791,64032,5546,5546
792,68000,5553,5553
793,62336,5560,5560
794,69760,5567,5567
795,61952,5574,5574
796,69504,5581,5581
797,62624,5588,5588
798,67936,5595,5595
799,64000,5602,5602
800,65536,5609,5609
801,63104,5616,5616
802,69152,5623,5623
803,62176,5630,5630
804,67904,5637,5637
805,64160,5644,5644
806,65376,5651,5651
807,65664,5658,5658
808,64288,5665,5665
809,67616,5672,5672
810,62560,5679,5679
811,69440,5686,5686
812,62432,5693,5693
813,69280,5700,5700
814,62624,5707,5707
815,67968,5714,5714
816,64096,5721,5721
817,65472,5728,5728
818,65792,5735,5735
819,63712,5742,5742
820,67936,5749,5749
821,62400,5756,5756
822,69568,5763,5763
823,62464,5770,5770
824,69632,5777,5777
825,62272,5784,5784
826,67840,5791,5791
827,64128,5798,5798
828,65184,5805,5805
829,65664,5812,5812
830,63872,5819,5819
831,67968,5826,5826
832,62272,5833,5833
833,69632,5840,5840
834,62112,5847,5847
835,69536,5854,5854
836,63008,5861,5861
837,67488,5868,5868
838,64192,5875,5875
839,65376,5882,5882
840,65600,5889,5889
841,63904,5896,5896
842,67968,5903,5903
843,62368,5910,5910
844,69664,5917,5917
845,62208,5924,5924
846,69440,5931,5931
847,62624,5938,5938
848,67904,5945,5945
849,64064,5952,5952
850,65440,5959,5959
851,62592,5966,5966
852,69344,5973,5973
853,62528,5980,5980
854,67872,5987,5987
855,64224,5994,5994
856,65408,6001,6001
857,65728,6008,6008
858,63968,6015,6015
859,67872,6022,6022
860,62336,6029,6029
861,69664,6036,6036
862,62304,6043,6043
863,69312,6050,6050
864,62912,6057,6057
865,67584,6064,6064
866,64256,6071,6071
867,65312,6078,6078
868,65568,6085,6085
869,64128,6092,6092
870,67552,6099,6099
871,62368,6106,6106
872,69472,6113,6113
873,62304,6120,6120
874,69280,6127,6127
875,63104,6134,6134
876,67360,6141,6141
877,64352,6148,6148
878,65216,6155,6155
